Name	..NM89_RPMI_salmon.quant.sf	..NM90_RPMI_HS5_salmon.quant.sf	..NM91_MM1S_salmon.quant.sf	..NM92_MM1S_HS5_salmon.quant.sf	..NM95_KMS11_salmon.quant.sf	..NM96_KMS11_HS5_salmon.quant.sf
LINC01550	87.58284	139.90493999999998	72.81461	111.29905	21.33064	27.3226
LINC01551	11.19435	37.50827	8.23248	16.45721	18.93676	14.91774
LINC01553	57.8418	47.3308	28.124000000000002	64.7318	5.41801	5.47771
LINC01555	20.2194	39.3384	25.7087	43.3608	11.9328	15.0484
LINC01558	36.05012	17.521729999999998	7.2950800000000005	7.9378899999999994	3.09285	2.0238099999999997
LINC01560	254.3	248.768	86.5554	62.2832	21.8752	33.02
LINC01562	478.847	303.1	261.307	345.787	55.2571	72.6856
LINC01563	15.1057	1.01536	8.01	8.507660000000001	1.01	5.01
LINC01566	21.2632	22.2622	7.01018	19.3286	4.01	2.01
LINC01567	32.3882	36.3733	16.9063	9.12757	1.13351	7.2165300000000006
LINC01568	3.13813	27.46961	10.112810000000001	8.05866	1.01033	5.07702
LINC01569	409.8005	426.9703	121.26901000000001	230.7725	56.086119999999994	81.98951
LINC01570	13.01	4.3675	6.01	4.02	3.02	8.02
LINC01571	10.1054	17.0966	7.7764	31.01	4.01	6.70896
LINC01572	302.03208	237.95665	38.99133	58.82689	34.442820000000005	46.00475
LINC01578	6811.1101	8409.2271	4840.417829999999	6657.9759	2202.4423	2357.18597
LINC01579	148.11307	129.16981	97.8048	124.131	24.249000000000002	31.1543
LINC01585	25.5567	54.3261	13.6607	17.7889	2.2761400000000003	3.06073
LINC01588	500.62612	454.16328	53.805659999999996	157.55539	61.103930000000005	54.06828
